congress,chamber,icpsr,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2
113,Senate,14858,NY,100,0,1 ,"SCHUMER, Charles Ellis (Chuck)",S000148,-0.351,-0.391,-16.79596,0.96998,551,3,-0.447,-0.258
113,Senate,20735,NY,100,0,1 ,"GILLIBRAND, Kirsten",G000555,-0.41,-0.225,-26.23162,0.95309,546,13,-0.565,-0.199
113,Senate,29548,NC,200,0,1 ,"BURR, Richard M.",B001135,0.453,-0.058,-111.29488,0.81281,537,46,0.434,0.043
113,Senate,40907,NC,100,0,1 ,"HAGAN, Kay",H001049,-0.202,0.281,-53.76165,0.905,538,18,-0.175,0.326
113,Senate,41107,ND,200,0,1 ,"HOEVEN, John",H001061,0.34,0.328,-97.75358,0.83717,550,34,0.367,0.241
113,Senate,41303,ND,100,0,1 ,"HEITKAMP, Mary Kathryn (Heidi)",H001069,-0.122,0.398,-60.47102,0.89424,541,14,-0.191,0.463
113,Senate,29386,OH,200,0,1 ,"PORTMAN, Robert Jones (Rob)",P000449,0.374,-0.251,-136.83064,0.77507,537,58,0.369,-0.105
113,Senate,29389,OH,100,0,1 ,"BROWN, Sherrod",B000944,-0.438,-0.136,-24.28122,0.95627,543,12,-0.514,0.132
113,Senate,15424,OK,200,0,1 ,"INHOFE, James Mountain",I000024,0.552,0.04,-86.2195,0.83713,485,35,0.594,0.188
113,Senate,29555,OK,200,0,1 ,"COBURN, Thomas Allen",C000560,0.782,0.055,-98.18576,0.801,442,45,0.786,-0.28
113,Senate,14871,OR,100,0,1 ,"WYDEN, Ronald Lee",W000779,-0.321,-0.433,-41.32286,0.92787,552,19,-0.375,-0.729
113,Senate,40908,OR,100,0,1 ,"MERKLEY, Jeff",M001176,-0.48,-0.801,-37.69011,0.93306,544,16,-0.407,-0.913
113,Senate,29935,PA,200,0,1 ,"TOOMEY, Patrick Joseph",T000461,0.638,-0.298,-127.87625,0.78705,534,57,0.525,-0.387
113,Senate,40703,PA,100,0,1 ,"CASEY, Robert (Bob), Jr.",C001070,-0.304,0.193,-34.08773,0.93849,537,15,-0.255,-0.001
113,Senate,29142,RI,100,0,1 ,"REED, John F. (Jack)",R000122,-0.38,-0.226,-25.31999,0.95517,552,12,-0.489,-0.451
113,Senate,40704,RI,100,0,1 ,"WHITEHOUSE, Sheldon",W000802,-0.397,-0.196,-26.5339,0.95257,546,11,-0.419,-0.456
113,Senate,21173,SC,200,0,5 ,"SCOTT, Tim",S001184,0.653,-0.01,-81.8807,0.85882,538,33,0.681,0.009
113,Senate,29566,SC,200,0,1 ,"GRAHAM, Lindsey O.",G000359,0.408,-0.173,-129.63838,0.7767,513,66,0.348,-0.195
113,Senate,15425,SD,100,0,1 ,"JOHNSON, Timothy Peter (Tim)",J000177,-0.25,0.143,-30.95638,0.945,548,10,-0.348,0.229
113,Senate,29754,SD,200,0,1 ,"THUNE, John",T000250,0.41,0.128,-85.2978,0.8561,549,34,0.467,0.183
113,Senate,40304,TN,200,0,1 ,"ALEXANDER, Lamar",A000360,0.323,-0.182,-137.16574,0.76578,514,64,0.312,0.04
113,Senate,40705,TN,200,0,1 ,"CORKER, Robert (Bob)",C001071,0.395,-0.345,-150.18489,0.75721,540,65,0.372,-0.291
113,Senate,40305,TX,200,0,1 ,"CORNYN, John",C001056,0.495,-0.014,-108.5542,0.81605,534,56,0.539,-0.065
113,Senate,41304,TX,200,0,1 ,"CRUZ, Rafael Edward (Ted)",C001098,0.819,-0.328,-69.38663,0.8728,510,25,0.887,-0.309
113,Senate,14503,UT,200,0,1 ,"HATCH, Orrin Grant",H000338,0.382,-0.005,-144.75145,0.75823,523,76,0.346,-0.194
113,Senate,41110,UT,200,0,1 ,"LEE, Mike",L000577,0.922,-0.387,-71.06153,0.87518,533,26,0.949,-0.316
